comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Coprococcus,0.5345091080053954,2.699468307046993,0.15047580250511206,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Paeniclostridium,-4.86847474760555,-2.6376825903585357,0.155024393752361,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Senegalimassilia,-1.2927342208878534,-2.4880952103428817,0.1907125262088107,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Holdemanella,-2.120195346851048,-2.2967773032401526,0.2556447277315259,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Megamonas,3.368839045251732,2.318164071321815,0.2556447277315259,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Eubacterium,0.8584524156342914,2.2302098861922266,0.25888321761205707,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Collinsella,-0.7342898655722284,-1.8416119752907851,0.4732861474503503,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Duodenibacillus,-5.927361431900381,-1.864508829565805,0.4732861474503503,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Mediterraneibacter,0.25256215699056095,1.7341579925539836,0.48980486522798206,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Slackia,5.430678271569439,1.7872798331612394,0.48980486522798206,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Bacteroides,-0.5939960187218839,-1.6364527115241638,0.5290733497348108,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Parabacteroides,0.4477296581060949,1.6510344974029856,0.5290733497348108,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Parasutterella,0.4902763688913565,1.586824039463918,0.5576222571345774,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Gemmiger,0.3752860856686208,1.4061688682673308,0.6696005872367511,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Escherichia,0.4261710556747994,1.38834030680234,0.6704483662676569,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Peptostreptococcus,-2.1150916848600216,-1.2976094265043936,0.7433766343243607,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Dorea,0.2450589905104689,1.1534613381263925,0.8582328581872151,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Hespellia,0.8326869186025055,0.7980268624999675,0.8582328581872151,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Roseburia,1.0399597925830424,1.112513542076956,0.8582328581872151,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Anaeromassilibacillus,-0.3030321081791605,-0.5352194714998468,0.8991442308466391,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Faecalibacterium,-0.12128054738928626,-0.5505237095498173,0.8991442308466391,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Olsenella,2.352029608505339,0.590698510742672,0.8991442308466391,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Ruminococcus,0.1552719855182381,0.5983626392102596,0.8991442308466391,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Eggerthella,-0.16146514504513393,-0.44144238638748456,0.9271242961229912,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Sutterella,0.12123255597849728,0.4381251349765617,0.9271242961229912,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Alistipes,0.07242235483870062,0.17430297449020785,0.9560042256129604,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Catenibacterium,-0.2683515000003191,-0.24625138125365284,0.9560042256129604,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Intestinibacter,0.250923686663892,0.15402998167121082,0.9560042256129604,FALSE,FALSE
