"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC63_Pl2",40307.0197712486,"GAM","DMSOControl","Static","48","R3","GAM_DMSOControl_Static_48"
"repBC63_Pl3",21133.491393552,"mBHI","FecesOnly","Static","48","R3","mBHI_FecesOnly_Static_48"
"repBC64_Pl1",56123.7796535027,"Schaedler","CGA","Static","48","R1","Schaedler_CGA_Static_48"
"repBC64_Pl2",20445.3460499002,"GAM","WaterControl","Static","48","R1","GAM_WaterControl_Static_48"
"repBC64_Pl3",62003.1906193732,"mBHI","Quercetin","Stirred","48","R1","mBHI_Quercetin_Stirred_48"
"repBC65_Pl1",25854.9906409628,"Schaedler","CGA","Static","48","R2","Schaedler_CGA_Static_48"
"repBC65_Pl2",76066.2710190021,"GAM","WaterControl","Static","48","R2","GAM_WaterControl_Static_48"
"repBC65_Pl3",22515.3659084912,"mBHI","Quercetin","Stirred","48","R2","mBHI_Quercetin_Stirred_48"
"repBC66_Pl1",35543.5127865148,"Schaedler","CGA","Static","48","R3","Schaedler_CGA_Static_48"
"repBC66_Pl2",42984.419658217,"GAM","WaterControl","Static","48","R3","GAM_WaterControl_Static_48"
"repBC66_Pl3",43167.6740687086,"mBHI","Quercetin","Stirred","48","R3","mBHI_Quercetin_Stirred_48"
"repBC67_Pl1",3456,"Schaedler","DMSOControl","Static","48","R1","Schaedler_DMSOControl_Static_48"
"repBC67_Pl2",9156.15790986928,"GAM","FecesOnly","Static","48","R1","GAM_FecesOnly_Static_48"
"repBC67_Pl3",2583.10129709172,"mBHI","CGA","Stirred","48","R1","mBHI_CGA_Stirred_48"
"repBC68_Pl1",32095.8496785873,"Schaedler","DMSOControl","Static","48","R2","Schaedler_DMSOControl_Static_48"
"repBC68_Pl2",61053.4315402287,"GAM","FecesOnly","Static","48","R2","GAM_FecesOnly_Static_48"
"repBC68_Pl3",20309.7869794712,"mBHI","CGA","Stirred","48","R2","mBHI_CGA_Stirred_48"
"repBC69_Pl1",33554.9634194872,"Schaedler","DMSOControl","Static","48","R3","Schaedler_DMSOControl_Static_48"
"repBC69_Pl2",45000.7978195292,"GAM","FecesOnly","Static","48","R3","GAM_FecesOnly_Static_48"
